Dataset,Split,Stage,Accuracy,Precision,Recall,F1_score,Batch_Size,Learning_Rate
Data2/2_Dataset_5_Attack_30_normal.csv,1,train,20.29,0.2474,0.205,0.1857,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,2,train,28.69,0.2949,0.2772,0.2556,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,3,train,37.3,0.3736,0.3803,0.326,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,4,train,40.76,0.4064,0.4272,0.3663,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,5,train,43.9,0.4723,0.4619,0.4018,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,6,train,47.83,0.4918,0.5075,0.4381,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,7,train,54.69,0.559,0.5764,0.522,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,8,train,60.63,0.646,0.6411,0.5977,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,9,train,67.19,0.6946,0.6947,0.6718,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,10,train,68.95,0.7359,0.7342,0.7035,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,11,train,70.92,0.7505,0.7528,0.7295,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,12,train,74.46,0.7792,0.7826,0.7635,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,13,train,78.12,0.8015,0.8104,0.7948,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,14,train,78.47,0.801,0.8174,0.798,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,15,train,83.77,0.8372,0.8578,0.8427,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,16,train,85.66,0.8494,0.8696,0.857,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,17,train,89.37,0.886,0.8952,0.8895,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,18,train,90.95,0.902,0.9082,0.9042,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,19,train,92.23,0.9135,0.92,0.9156,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,20,train,93.23,0.9247,0.9283,0.9252,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,21,train,92.3,0.9146,0.9191,0.9149,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,22,train,92.77,0.9199,0.9225,0.9192,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,23,train,93.27,0.9261,0.9287,0.9254,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,24,train,93.62,0.926,0.928,0.9256,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,25,train,93.27,0.9247,0.927,0.924,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,26,train,93.75,0.9295,0.931,0.9282,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,27,train,93.88,0.931,0.932,0.9301,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,28,train,94.23,0.9337,0.9369,0.9339,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,29,train,94.36,0.9353,0.9379,0.9351,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,30,train,93.95,0.9302,0.9323,0.9299,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,31,train,94.08,0.9323,0.9358,0.9325,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,32,train,94.01,0.9325,0.9332,0.9313,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,33,train,93.97,0.9304,0.9331,0.9303,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,34,train,94.08,0.9311,0.9329,0.9306,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,35,train,94.08,0.9336,0.9365,0.9335,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,36,train,94.42,0.9357,0.9371,0.9347,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,37,train,93.84,0.9273,0.931,0.9276,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,38,train,94.64,0.9392,0.9395,0.9382,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,39,train,94.34,0.9344,0.9386,0.9351,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,40,train,94.75,0.9385,0.9406,0.9385,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,1,train,20.29,0.2474,0.205,0.1857,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,2,train,28.69,0.2949,0.2772,0.2556,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,3,train,37.3,0.3736,0.3803,0.326,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,4,train,40.76,0.4064,0.4272,0.3663,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,5,train,43.9,0.4723,0.4619,0.4018,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,6,train,47.83,0.4918,0.5075,0.4381,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,7,train,54.69,0.559,0.5764,0.522,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,8,train,60.63,0.646,0.6411,0.5977,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,9,train,67.19,0.6946,0.6947,0.6718,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,10,train,68.95,0.7359,0.7342,0.7035,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,11,train,70.92,0.7505,0.7528,0.7295,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,12,train,74.46,0.7792,0.7826,0.7635,128,3e-05
