Dataset,Split,Stage,Accuracy,Precision,Recall,F1_score,Batch_Size,Learning_Rate
Data2/2_Dataset_5_Attack_120_normal.csv,11,test_round,66.89,0.8116,0.6689,0.6931,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,12,test_round,70.7,0.8244,0.707,0.7272,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,13,test_round,70.91,0.828,0.7091,0.7297,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,14,test_round,88.38,0.8938,0.8838,0.8854,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,15,test_round,74.85,0.8444,0.7485,0.7645,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,16,test_round,90.91,0.9163,0.9091,0.9106,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,17,test_round,89.36,0.9035,0.8936,0.8956,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,18,test_round,90.86,0.9148,0.9087,0.9099,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,19,test_round,91.23,0.9189,0.9123,0.9138,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,20,test_round,92.93,0.9315,0.9293,0.9296,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,21,test_round,94.21,0.9455,0.9421,0.9425,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,22,test_round,94.56,0.9482,0.9456,0.9457,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,23,test_round,94.61,0.9492,0.9461,0.9463,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,24,test_round,95.19,0.9538,0.952,0.9519,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,25,test_round,95.14,0.9534,0.9514,0.9514,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,26,test_round,94.89,0.9522,0.9489,0.9492,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,27,test_round,95.35,0.9556,0.9535,0.9534,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,28,test_round,95.41,0.9557,0.9541,0.9539,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,29,test_round,95.54,0.9572,0.9554,0.9553,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,30,test_round,95.36,0.9563,0.9536,0.9537,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,31,test_round,95.59,0.9574,0.956,0.9557,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,32,test_round,95.19,0.9551,0.9519,0.9521,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,33,test_round,95.41,0.9564,0.9541,0.9541,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,34,test_round,95.58,0.9575,0.9558,0.9556,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,35,test_round,95.62,0.9578,0.9562,0.956,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,36,test_round,95.53,0.9577,0.9553,0.9554,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,37,test_round,95.69,0.9588,0.9568,0.9568,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,38,test_round,95.72,0.9597,0.9572,0.9573,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,39,test_round,95.2,0.9541,0.952,0.9522,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,40,test_round,95.62,0.9588,0.9562,0.9563,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,40,test,95.62,0.9588,0.9562,0.9563,128,3e-05
