Attacks,Model,Metric,Min,Max,Average,Final
11,DNN,Accuracy,0.50005,0.8265666666666667,0.7854727083333334,0.7963666666666667
11,DNN,Macro_F1,0.04444740730864527,0.542872686002385,0.46331531180050883,0.4531527382891725
11,DNN,Macro_Precision,0.03333666666666667,0.5879258549441967,0.49631999648394176,0.44189115193417866
11,DNN,Macro_Recall,0.06666666666666667,0.5461612939060573,0.48589523974506355,0.5025080525806361
11,DNN,Weighted_F1,0.333388890370321,0.8245139770145146,0.7575132720836297,0.7631274117545842
11,DNN,Weighted_Precision,0.2500500025,0.8554184516082061,0.7722381924519378,0.7558592928311263
11,DNN,Weighted_Recall,0.50005,0.8265666666666667,0.7854727083333334,0.7963666666666667
11,DNN,CPU_Train_Util_%,0.0,100.0,17.882017852948085,
11,DNN,RAM_Train_MB,7579.2265625,27457.359375,22463.083049334185,
11,DNN,GPU_Util_%,0.0,7.0,0.025957246887479444,
11,DNN,GPU_Power_W,17.574,37.891,35.83430162085976,
11,DNN,GPU_VRAM_MB,224.0,480.4375,465.44790198496594,
11,DNN,Train_Time,,,,2:57:27
11,DNN,Model_Size_KB,,,,37.0
14,DNN,Accuracy,0.5000833333333333,0.806075,0.74994375,0.7198666666666667
14,DNN,Macro_F1,0.04444938244171621,0.6250555570608715,0.5027585315840714,0.40264898372423136
14,DNN,Macro_Precision,0.03333888888888889,0.6685517320042554,0.5188794370627579,0.4107956862353336
14,DNN,Macro_Recall,0.06666666666666667,0.6386975799638217,0.5338508542041904,0.4777051912325516
14,DNN,Weighted_F1,0.33342593004092363,0.7989690999086378,0.7135971015308346,0.6669592187983521
14,DNN,Weighted_Precision,0.2500833402777778,0.8224680214547793,0.7095334541594287,0.6592946044053308
14,DNN,Weighted_Recall,0.5000833333333333,0.806075,0.74994375,0.7198666666666667
14,DNN,CPU_Train_Util_%,0.0,97.2,17.716140776699028,
14,DNN,RAM_Train_MB,7179.44921875,26813.13671875,21389.059090157985,
14,DNN,GPU_Util_%,0.0,6.0,0.03692787794729542,
14,DNN,GPU_Power_W,16.034,29.264,27.738465846047156,
14,DNN,GPU_VRAM_MB,224.0,480.4375,458.05126343619975,
14,DNN,Train_Time,,,,3:17:09
14,DNN,Model_Size_KB,,,,37.5
5,DNN,Accuracy,0.5,0.9738083333333334,0.9319368750000001,0.9644333333333334
5,DNN,Plateau_Round,,,,16
5,DNN,Macro_F1,0.04444444444444444,0.3823184918913948,0.3501984336313368,0.37603895057814685
5,DNN,Macro_Precision,0.03333333333333333,0.3832289456740435,0.35151248162259696,0.37719734706905506
5,DNN,Macro_Recall,0.06666666666666667,0.3827611111111111,0.35494591666666664,0.3767688888888889
5,DNN,Weighted_F1,0.3333333333333333,0.9733010019488693,0.9177498694666408,0.9636981015753577
5,DNN,Weighted_Precision,0.25,0.9748337832405055,0.9154700239879757,0.9657960206035825
5,DNN,Weighted_Recall,0.5,0.9738083333333334,0.9319368750000001,0.9644333333333334
5,DNN,CPU_Train_Util_%,0.0,98.6,23.17207759060745,
5,DNN,RAM_Train_MB,7812.06640625,15842.56640625,13439.837512761613,
5,DNN,GPU_Util_%,0.0,6.0,0.24808575803981622,
5,DNN,GPU_Power_W,17.223,31.52,29.03876824910669,
5,DNN,GPU_VRAM_MB,224.0,480.4375,438.1309022460439,
5,DNN,Train_Time,,,,0:40:23
5,DNN,Model_Size_KB,,,,36.3
8,DNN,Accuracy,,,,
8,DNN,Macro_F1,,,,
8,DNN,Macro_Precision,,,,
8,DNN,Macro_Recall,,,,
8,DNN,Weighted_F1,,,,
8,DNN,Weighted_Precision,,,,
8,DNN,Weighted_Recall,,,,
8,DNN,CPU_Train_Util_%,0.0,100.0,20.952814638916053,
8,DNN,RAM_Train_MB,8155.8515625,27473.3671875,22301.636955558562,
8,DNN,GPU_Util_%,0.0,6.0,0.028076547003771476,
8,DNN,GPU_Power_W,17.219,31.883,30.292988964939237,
8,DNN,GPU_VRAM_MB,224.0,480.4375,462.7393578013689,
8,DNN,Train_Time,,,,2:33:13
8,DNN,Model_Size_KB,,,,36.6
5,TT,Accuracy,0.5,0.9796416666666666,0.927071875,0.9603916666666666
5,TT,Plateau_Round,,,,16
5,TT,Macro_F1,0.04444444444444444,0.38640121338408967,0.34873868559920573,0.3751438578081007
5,TT,Macro_Precision,0.03333333333333333,0.38707056705312115,0.34953537160645165,0.3759968730704317
5,TT,Macro_Recall,0.06666666666666667,0.38656555555555555,0.35233725000000005,0.3750922222222222
5,TT,Weighted_F1,0.3333333333333333,0.9794784610430026,0.9125402430402912,0.9599494060601708
5,TT,Weighted_Precision,0.25,0.9805658339060676,0.90852077347836,0.9607105713374493
5,TT,Weighted_Recall,0.5,0.9796416666666666,0.927071875,0.9603916666666666
5,TT,CPU_Train_Util_%,0.0,99.5,30.092268479184366,
5,TT,RAM_Train_MB,7892.73046875,16502.1875,14029.354718696899,
5,TT,GPU_Util_%,0.0,29.0,1.0972812234494478,
5,TT,GPU_Power_W,16.819,36.034,30.00046389124894,
5,TT,GPU_VRAM_MB,224.0,540.4375,492.74676083262534,
5,TT,Train_Time,,,,1:43:55
5,TT,Model_Size_KB,,,,137.6
